"Name","b"
"CDC_Asterix_AGL",0.00047
"CDC_Rosie_AGL",0.000335
"X3156.11_AGL",0.000369
"CDC_Greenstar_AGL",0.000521
"CDC_Cherie_AGL",0.000416
"CDC_Glamis_AGL",0.000498
"CDC_Gold_AGL",0.000543
"CDC_Imax_AGL",0.000259
"CDC_Impower_AGL",0.000497
"CDC_KR.1_AGL",0.000746
"CDC_LeMay_AGL",0.000411
"CDC_Maxim_AGL",0.000405
"CDC_QG.1_AGL",0.000468
"CDC_Red_Rider_AGL",0.000251
"CDC_Redcoat_AGL",0.000185
"CDC_Redwing_AGL",0.000225
"CDC_Robin_AGL",0.000461
"CDC_Rosebud_AGL",0.00073
"CDC_Rosetown_AGL",0.00023
"CDC_Rouleau_AGL",0.000348
"CDC_Royale_AGL",0.000457
"CDC_Ruby_AGL",0.000668
"CDC_SB.1_AGL",0.000606
"CDC_Sedley_AGL",0.000519
"CDC_Vantage_AGL",0.000594
"CN_105604_AGL",0.000361
"CN_105605_AGL",0.00067
"CN_105715_AGL",0.000501
"CN_105732_AGL",0.000706
"CN_105767_AGL",0.000624
"CN_105777_AGL",0.000527
"CN_105789_AGL",0.000228
"CN_105791_AGL",0.000753
"CN_105862_AGL",0.000293
"CN_105863_AGL",0.000278
"CN_105864_AGL",0.000318
"CN_105865_AGL",0.000327
"CN_105895_AGL",0.000408
"CN_106265_AGL",0.000222
"CN_108369_AGL",0.000464
"CN_108370_AGL",0.000551
"Crimson_AGL",0.000591
"DPL_62_AGL",0.000428
"Eston_AGL",0.000514
"Gudo_AGL",0.000234
"IG_1046_AGL",0.000617
"IG_1706_AGL",0.000497
"IG_1959_AGL",0.000592
"IG_4258_AGL",0.000323
"IG_4781_AGL",0.000176
"IG_858_AGL",0.000701
"ILL_10657_AGL",0.000436
"ILL_10748_AGL",0.000654
"ILL_11547_AGL",0.000572
"ILL_11548_AGL",0.00062
"ILL_11553_AGL",0.000339
"ILL_11555_AGL",0.000607
"ILL_11557_AGL",0.000628
"ILL_11558_AGL",0.000504
"ILL_1220_AGL",0.000586
"ILL_1553_AGL",0.000526
"ILL_1762_AGL",0.000165
"ILL_1983_AGL",0.000334
"ILL_213_AGL",0.000252
"ILL_2194_AGL",0.000257
"PI_431893_LSP_AGL",0.000699
"ILL_2507_AGL",0.00035
