Name,Cotyledon_Color,Cotyledon_Color_RvsY,DTF_Sask_2017,DTF_Nepal_2017
CDC_Asterix_AGL,Yellow,0,54.66666667,128
CDC_Rosie_AGL,Red,1,59,123.3333333
X3156.11_AGL,Red,1,60.66666667,125.3333333
CDC_Greenstar_AGL,Yellow,0,56.66666667,121
CDC_Cherie_AGL,Red,1,54.33333333,125.3333333
CDC_Glamis_AGL,Yellow,0,59,123
CDC_Gold_AGL,Yellow,0,54,125.3333333
CDC_Imax_AGL,Red,1,53,128.6666667
CDC_Impower_AGL,Yellow,0,57,123.3333333
CDC_KR.1_AGL,Red,1,57,121.6666667
CDC_LeMay_AGL,Yellow,0,55.66666667,126.6666667
CDC_Maxim_AGL,Red,1,54.33333333,125.6666667
CDC_QG.1_AGL,Green,NA,57.66666667,126.6666667
CDC_Red_Rider_AGL,Red,1,57,123.5
CDC_Redcoat_AGL,Red,1,57.66666667,126.6666667
CDC_Redwing_AGL,Red,1,57.33333333,128.6666667
CDC_Robin_AGL,Red,1,52,124.6666667
CDC_Rosebud_AGL,Red,1,54.66666667,121.3333333
CDC_Rosetown_AGL,Red,1,57.66666667,123.6666667
CDC_Rouleau_AGL,Red,1,55.33333333,123.6666667
CDC_Royale_AGL,Green,NA,56.33333333,123.3333333
CDC_Ruby_AGL,Red,1,52.66666667,114
CDC_SB.1_AGL,Yellow,0,47.33333333,121.6666667
CDC_Sedley_AGL,Yellow,0,54.66666667,121.6666667
CDC_Vantage_AGL,Yellow,0,53.66666667,122.3333333
CN_105604_AGL,Red,1,45.66666667,110.3333333
CN_105605_AGL,NA,NA,44,117
CN_105715_AGL,NA,NA,44,119.6666667
CN_105732_AGL,Yellow,0,52.33333333,118.3333333
CN_105767_AGL,NA,NA,44.33333333,107
CN_105777_AGL,Red,1,42.33333333,97.33333333
CN_105789_AGL,Red,1,44,104.3333333
CN_105791_AGL,Red,1,45,76.66666667
CN_105862_AGL,Yellow,0,53,130.6666667
CN_105863_AGL,Yellow,0,52,129.3333333
CN_105864_AGL,Yellow,0,53,130
CN_105865_AGL,Yellow,0,52.66666667,132.6666667
CN_105895_AGL,Red,1,46,100
CN_106265_AGL,NA,NA,57,125.6666667
CN_108369_AGL,Yellow,0,54.5,122.3333333
CN_108370_AGL,Yellow,0,58,124.3333333
Crimson_AGL,Red,1,55.33333333,114
DPL_62_AGL,Red,1,42.66666667,96.33333333
Eston_AGL,Yellow,0,49,122.6666667
Gudo_AGL,Yellow,0,45.33333333,118
IG_1046_AGL,Yellow,0,47.33333333,124.3333333
IG_1706_AGL,Red,1,46,130.3333333
IG_1959_AGL,Yellow,0,47.33333333,121.6666667
IG_4258_AGL,Red,1,44.33333333,106
IG_4781_AGL,Yellow,0,54.66666667,141.6666667
IG_858_AGL,Yellow,0,48,125
ILL_10657_AGL,Red,1,44.33333333,107.6666667
ILL_10748_AGL,Yellow,0,48,96.66666667
ILL_11547_AGL,NA,NA,43.33333333,104.5
ILL_11548_AGL,Yellow,0,44.33333333,102
ILL_11553_AGL,Red,1,45.66666667,100
ILL_11555_AGL,NA,NA,44,95.33333333
ILL_11557_AGL,Yellow,0,45,95.66666667
ILL_11558_AGL,Red,1,43.33333333,96.33333333
ILL_1220_AGL,Yellow,0,47,122.3333333
ILL_1553_AGL,Yellow,0,46.66666667,114.6666667
ILL_1762_AGL,Red,1,51.66666667,132
ILL_1983_AGL,Red,1,47,107
ILL_213_AGL,Red,1,45,147.5
ILL_2194_AGL,Yellow,0,48.33333333,125.3333333
PI_431893_LSP_AGL,Red,1,50,114
ILL_2507_AGL,Red,1,44.33333333,101.6666667
ILL_2580_AGL,Red,1,43.33333333,115.6666667
ILL_28_AGL,Yellow,0,47,128
ILL_3025_AGL,Red,1,44.66666667,102.6666667
ILL_313_AGL,Yellow,0,47,127.3333333
ILL_3347_AGL,Red,1,44.66666667,102
ILL_358_AGL,Red,1,46.33333333,119.6666667
ILL_3597_AGL,Red,1,44.66666667,108.3333333
ILL_4164_AGL,Red,1,48.33333333,124
ILL_4400_AGL,Yellow,0,52,125.6666667
ILL_4605_AGL,Yellow,0,47.33333333,91.33333333
ILL_4609_AGL,Red,1,47,129
ILL_4665_AGL,Yellow,0,53.33333333,118
ILL_4671_AGL,Yellow,0,50.66666667,127.3333333
ILL_4768_AGL,Red,1,42.66666667,111.6666667
ILL_4782_AGL,Red,1,41.33333333,107.6666667
ILL_4783_AGL,Yellow,0,56,126.3333333
ILL_4804_AGL,Red,1,46,121.6666667
ILL_4875_AGL,Red,1,56.66666667,127.6666667
ILL_4956_AGL,Yellow,0,53.66666667,123.3333333
ILL_5058_AGL,Yellow,0,54.66666667,139.6666667
ILL_5151_AGL,Red,1,48,124.6666667
ILL_5209_AGL,Yellow,0,47.66666667,122.3333333
ILL_5480_AGL,Yellow,0,55,126.3333333
ILL_5639_AGL,Yellow,0,47,120.6666667
ILL_5722_AGL,Red,1,44.33333333,105.6666667
ILL_5883_AGL,Red,1,46.33333333,123.3333333
ILL_5888_AGL,Red,1,41,52.66666667
ILL_5945_AGL,Red,1,41.33333333,107.6666667
ILL_6002_AGL,Yellow,0,47,96
ILL_618_AGL,Red,1,46.66666667,120.6666667
ILL_6182_AGL,Red,1,47.33333333,119.6666667
ILL_6211_AGL,Yellow,0,46.5,94.33333333
ILL_624_AGL,Yellow,0,51.33333333,121.3333333
ILL_6821_AGL,Red,1,47,127.3333333
ILL_6853_AGL,Yellow,0,49.33333333,126.6666667
ILL_7089_AGL,Yellow,0,45.66666667,121.3333333
ILL_7558_AGL,Yellow,0,48.33333333,95
ILL_7663_AGL,Red,1,44,67
ILL_7668_AGL,Red,1,47,107.3333333
ILL_7716_AGL,Yellow,0,47,90
ILL_7747_AGL,Yellow,0,47.33333333,128.6666667
ILL_7946_AGL,Red,1,45,120.6666667
ILL_7978_AGL,Red,1,44,108.3333333
ILL_7979_AGL,Red,1,47,103.3333333
ILL_8007_AGL,Red,1,40,84.33333333
ILL_8009_AGL,Red,1,42.33333333,97
ILL_8010_AGL,Red,1,45,95
ILL_8072_AGL,Yellow,0,49,124
ILL_8174_AGL,Yellow,0,48.66666667,122.3333333
ILL_8595_AGL,Red,1,47.33333333,120.3333333
ILL_9_AGL,Yellow,0,42.33333333,109.3333333
ILL_975_AGL,Yellow,0,45.33333333,124.6666667
ILL_9888_AGL,Red,1,43.66666667,123.3333333
ILL_9932_AGL,Red,1,45,108.3333333
ILL_9945_AGL,Red,1,42.66666667,108.3333333
ILL_9977_AGL,Red,1,43.66666667,106
ILL_9997_AGL,Red,1,43.66666667,97.66666667
ILWL_118_AGL,Red,1,50,109.3333333
Indianhead_AGL,Yellow,0,61.5,127.6666667
IPL_220_AGL,Red,1,41,98
Laird_AGL,Yellow,0,57.66666667,122.3333333
LIRL.22.46_AGL,Red,1,46,78.33333333
PI_163589_AGL,Yellow,0,53.33333333,133.6666667
PI_169534_LSP_AGL,Yellow,0,53,123
PI_175754_LSP_AGL,Red,1,47.33333333,123.6666667
PI_177430_LSP_AGL,Red,1,51.33333333,127.3333333
PI_178939_LSP_AGL,Yellow,0,53.33333333,128.3333333
PI_178952_AGL,Red,1,48,120.3333333
PI_178971_LSP_AGL,Red,1,54,122.6666667
