"lodindex","lodcolumn","chr","pos","lod","ci_lo","ci_hi"
18,"l.mean.BELT.Pr18_LR.70","2",215.6148,13.587355978694,214.2508,217.017
22,"a.mean.BELT.Pr18_LR.70","2",182,4.61358612134073,155.9795,186.5339
26,"b.mean.BELT.Pr18_LR.70","2",40,12.7787237182719,38.0388,46.1646
50,"l.mean.BELT.Su18_LR.70","1",132.5481,3.54611527247577,8.7849,136.7835
50,"l.mean.BELT.Su18_LR.70","2",215.6148,24.7254033616816,214.2508,217.017
54,"a.mean.BELT.Su18_LR.70","2",42,5.28799585824207,31.1877,46.1646
58,"b.mean.BELT.Su18_LR.70","2",44,18.4154297632162,39.1625,46.1646
58,"b.mean.BELT.Su18_LR.70","4",196.0443,3.73954378667483,181.2849,196.0443
82,"l.mean.BELT.Su19_LR.70","2",215.6148,17.6529189581827,214.2508,217.017
86,"a.mean.BELT.Su19_LR.70","1",303.3571,3.34812744428675,298.5043,314.7675
86,"a.mean.BELT.Su19_LR.70","2",41,8.72776844573263,39.1625,46.1646
86,"a.mean.BELT.Su19_LR.70","3",119.1583,3.31839139174254,117.3704,148.76
90,"b.mean.BELT.Su19_LR.70","2",44,20.3112903007571,39.1625,44.4197
90,"b.mean.BELT.Su19_LR.70","4",196.0443,3.05225338703492,184.1275,196.0443
114,"l.mean.BELT.SPG19_LR.70","2",215.6148,21.8090893506877,214.2508,217.017
114,"l.mean.BELT.SPG19_LR.70","3",127.2166,3.18348728859504,119.1583,131.6324
118,"a.mean.BELT.SPG19_LR.70","2",41.8512,4.94395436398801,39.1625,225.1531
118,"a.mean.BELT.SPG19_LR.70","3",119.1583,6.11435456703314,118.0747,121.4747
122,"b.mean.BELT.SPG19_LR.70","2",43,18.9382213452628,39.1625,44.4197
146,"l.mean.BELT.Su21_LR.70","1",132,4.33348059921656,120.1021,136.7835
146,"l.mean.BELT.Su21_LR.70","2",216,18.3292347132757,214.2508,218.4062
146,"l.mean.BELT.Su21_LR.70","4",196.0443,3.01430144308733,184.1275,196.0443
150,"a.mean.BELT.Su21_LR.70","2",42,4.32500081991939,36.7663,218.4062
154,"b.mean.BELT.Su21_LR.70","2",44,19.9395204425425,39.1625,46.1646
154,"b.mean.BELT.Su21_LR.70","4",196.0443,3.7880277838733,186.0893,196.0443
